sepallength,sepalwidth,petallength,petalwidth,class
5.6,3,4.1,1.3,Iris-versicolor
6.3,3.3,4.7,1.6,Iris-versicolor
5.5,2.4,3.8,1.1,Iris-versicolor
6.7,3,5,1.7,Iris-versicolor
5.1,2.5,3,1.1,Iris-versicolor
6.6,2.9,4.6,1.3,Iris-versicolor
6.4,2.9,4.3,1.3,Iris-versicolor
6.7,3.1,4.4,1.4,Iris-versicolor
6.3,2.3,4.4,1.3,Iris-versicolor
6.1,2.8,4,1.3,Iris-versicolor
5.6,2.5,3.9,1.1,Iris-versicolor
5.1,3.7,1.5,0.4,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5.7,4.4,1.5,0.4,Iris-setosa
4.7,3.2,1.6,0.2,Iris-setosa
5.5,4.2,1.4,0.2,Iris-setos
